ID,Ano,Version,Area,Promesa,CumplimientoTotal,CoherenciaTotal,Boletin,Titulo,Link,PrimerTramite,Veto,Insistencia,SegundoTercerTramite,ComisionMixta,TribunalConstitucional,AprobacionPresidencial,Promulgado,RechazadoRetirado,Avance,Simple,Suma,Inmediata,Total,Marginal,ParcialMinima,ParcialAlto,Total,EscalaCoherencia,Justificacion
1,2016,Marzo,Agricultura,"Enviaremos al Congreso un proyecto de ley que contenga el Estatuto del Temporero y la Actividad Agrícola de Temporada, que consagre protección a estos trabajadores y trabajadoras.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
2,2016,abril,Agricultura,"En el Gobierno anterior, enviamos el proyecto de Ley de Obtentores Vegetales, conocida como “Ley Monsanto”(...) Hemos conocido nuevos antecedentes y presenciado un debate sobre si esa ley es pertinente y cuáles pueden ser sus riesgos. Vamos a revisar ese proyecto de ley, escuchando todas las opiniones, salvaguardando y respetando la soberanía alimentaria y las semillas tradicionales",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
3,2016,mayo,Agricultura,También deben potenciarse las capacidades técnicas y de fiscalización del Servicio Agrícola y Ganadero (SAG).,100%,4,9690-01,Asignaciones y modificaciones a la planta del Servicio Agrícola y Ganadero.,http://congresoabierto.cl/proyectos/9690-01,,,,,,,,1,,1,,3,,3,,,,1,4,"Se crean  asignaciones de estímulo para el personal del SAG, nuevos cargos, bonos extraordinarios y un plan institucional anual y rendición de cuentas de éste"
4,2016,junio,Agricultura,"Formaremos en la Oficina de Estudios y Políticas Agrarias (ODEPA) un equipo de desarrollo de institucionalidad, regulación y normas de libre competencia que permita revisar las normativas de comercio de tal manera de impedir la operación de formas de comercio en la agroindustria o en el sector forestal que atentan contra los consumidores o los productores.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
5,2016,julio,Agricultura,"En materia forestal, enviaremos al Congreso un proyecto de ley que prorrogue por dos años los incentivos a la forestación, junto con legislar para eliminar las barreras de entrada que han limitado la incorporación de pequeños y medianos propietarios forestales a los beneficios de la actual legislación sobre bosque nativo.",40%,3,10064-01,"Extiende la bonificación establecida en el decreto ley N° 701, de 1974, sobre Fomento Forestal, cuyo texto fue reemplazado por el artículo primero del decreto ley N° 2.565, de 1979.",,1,,,,,,,,,"0,4",1,,,1,,,1,,3,"El proyecto de ley en si logra la prorroga de los incentivos a la forestación durante 3 años, pero carece de la legislación en cuanto a la eliminación de las barreras de entrada que limitan la incorporación de pequeños y medianos propietarios forestales."
6,2016,agosto,Obras Públicas,"Debemos mejorar la gestión del agua para riego eficiente. Potenciaremos las políticas de mejoramientos de canales, pozos profundos y de riego técnificado. Para esto se realizarán los cambios legales y se destinarán los recursos necesarios.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
7,2016,septiembre,Obras Públicas,Avanzaremos en una normativa que haga posible la existencia de la figura recursos hídricos con fines sociales. Estos usos serán prioritarios y establecerán restricciones al ejercicio de todos los demás usos con fines competitivos.,40%,4,7543-12,Reforma el Código de Aguas,http://congresoabierto.cl/proyectos/7543-12,1,,,,,,,,,"0,4",4,2,,6,,,,1,4,"El proyecto contempla que se permita a la Administración limitar el ejercicio de los derechos de aprovechamiento en función del interés público, ya sea reduciéndolos temporalmente o redistribuyendo las aguas y establece el consumo humano y el saneamiento como usos prioritarios del agua, los que siempre prevalecerán en el otorgamiento como en la limitación del ejercicio del derecho de aprovechamiento"
8,2016,octubre,Obras Públicas,También modificaremos la normativa para redefinir la utilización de los acuíferos sobre-otorgados de acuerdo al uso efectivo de los derechos.,40%,4,7543-12,Reforma el Código de Aguas,http://congresoabierto.cl/proyectos/7543-12,1,,,,,,,,,"0,4",4,2,,6,,,,1,4,"Se establece que las concesiones caducarán por el solo ministerio de la ley si no se hace un uso efectivo del recurso en un plazo de cuatro o de ocho años, según tengan el carácter de derechos consuntivos o no consuntivos."
9,2016,noviembre,Obras Públicas,"Adicionalmente, estableceremos la normativa que permita el intercambio de derechos provisionales y eventuales por aquella proporción no utilizada de los derechos. En el caso de acuíferos con baja recarga pero con gran volumen almacenado, definiremos volúmenes de agua que se pueden extraer en plazos determinados sin generar efectos ambientales adversos.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
10,2016,diciembre,Cultura,"Pondremos en marcha una nueva política nacional de museos, que les permita financiarse y mejorar su gestión y contenidos que ofrecen a la ciudadanía.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
11,2016,enero,Cultura,"Adicionalmente, desarrollaremos una política sobre cultura digital, que nos permita aprovechar de mejor manera el desarrollo tecnológico, para, por una parte, ampliar las posibilidades para las políticas públicas de fomento a la creación cultural y, por la otra, democratizar, promover y facilitar, de mejor manera, el acceso a bienes culturales por parte de la ciudadanía.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
12,2016,febrero,Cultura,"En los primeros 100 días de Gobierno enviaremos al Congreso un proyecto de ley que crea el Ministerio de Cultura y Patrimonio, que será una institución con énfasis locales, que promueva la cultura, las artes y la interculturalidad, para lo cual, presentaremos un proyecto de ley al Congreso.",40%,4,,,,1,,,,,,,,,"0,4",,,,0,,,,1,4,
13,2016,marzo,Cultura,"Implementaremos políticas públicas que permitan asegurar una adecuada protección y circulación de la producción audiovisual, musical, así como del libro.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
14,2016,abril,Cultura,"Introduciremos modificaciones al Consejo Nacional de Televisión, incorporándolo al Ministerio de Cultura y Patrimonio, ampliando sus atribuciones, manteniendo su rol de regulador de la TV, enfatizando su rol de fomento de la calidad de la industria televisiva, tanto a nivel de TV abierta, pago, regional y comunitaria.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
15,2016,mayo,Cultura,"Enviaremos un proyecto de ley al Congreso para realizar un conjunto de modificaciones en materia de televisión pública. Se deben ampliar las facultades de TVN para un cumplimiento efectivo de los objetivos asociados con la misión pública que la ley le entrega. Al directorio se le aplicarán los deberes y régimen de responsabilidades de los directores de las Sociedades Anónimas y se debe imponer la obligación al Directorio del canal público de dar cuenta de su gestión una vez al año. TVN, debe incorporar financiamiento público de manera sistemática, con el objeto de que pueda producir bienes públicos socialmente valorados que los privados no tienen obligación de producir.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
16,2016,junio,Cultura,Perfeccionaremos la legislación y fiscalización del cumplimiento de los derechos laborales aplicables a los distintos sectores de la cultura.,0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
17,2016,julio,Defensa,"En el ámbito doméstico nuestro objetivo fundamental será retomar con ímpetu las reformas institucionales para el desarrollo de una Defensa Nacional mejor preparada para las tareas que le entregue la autoridad civil, logrando ser más transparente, y más eficiente y eficaz. En este sentido, se considera necesario el fortalecimiento del mando del Jefe del Estado Mayor Conjunto en lo relativo a su empleo en tiempos de paz incluso en instancias tales como la preparación, prevención y reacción ante emergencias, así como de su responsabilidad social.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
18,2016,agosto,Defensa,"De esta forma se enviará una indicación sustitutiva al Congreso Nacional respecto del proyecto de ley que deroga la ley reservada del cobre en la que se establezca que la asignación de los recursos para el financiamiento de la Defensa Nacional se realizará mediante la formulación de una planificación presupuestaria cuatrienal, que contemple el financiamiento de los programas y proyectos de inversión y los gastos de operación y mantenimiento de equipamiento.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
19,2016,septiembre,Defensa,"Reformaremos la competencia de la Justicia Militar, de manera tal que las causas con civiles víctimas de delitos cometidos por militares y carabineros sean conocidas por tribunales ordinarios. Se avanzará desde el actual modelo de fuero militar hacia uno nuevo caracterizado por la igualdad de las garantías procesales entre ciudadanos civiles y uniformados, con una judicatura letrada y plenamente independiente de la estructura de mando militar.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
20,2016,octubre,Defensa,"Concluiremos la modernización de la carrera militar, terminando con las distorsiones previsionales.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
21,2016,noviembre,Democracia,Impulsaremos la sustitución del actual sistema electoral binominal para la elección parlamentaria por uno de representación proporcional.,100%,4,9326-07,Sustituye el sistema electoral binominal por uno de carácter proporcional inclusivo y fortalece la representatividad del Congreso Nacional,http://congresoabierto.cl/proyectos/9326-07,,,,,,,,1,,1,4,11,4,19,,,,1,4,Se reemplaza el sistema electoral binominal por uno proporcional moderado.
22,2016,diciembre,Democracia,"De esta manera, basada en una fuerte convicción democrática, se recoge la demanda nacional por una Nueva Constitución Política para Chile a impulsar en un proceso democrático, institucional y participativo que permita alcanzar este propósito.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
23,2016,enero,Democracia,Impulsaremos la creación de la Defensoría del Pueblo u Ombudsman.,0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
24,2016,febrero,Democracia,"En el plano político, nuestra convicción es que cada región debe elegir a las autoridades que representan mejor los anhelos, sueños y proyectos de la comunidad. Si hoy se eligen alcaldes, parlamentarios y Consejeros Regionales, ese mecanismo debe extenderse a la máxima autoridad regional, hoy su intendente o intendenta.",40%,4,9834-06,Dispone la elección popular del órgano ejecutivo del gobierno regional.,http://congresoabierto.cl/proyectos/9834-06,1,,,,,,,,,"0,4",6,,,6,,,,1,4,Pretende modificar la constitución estableciendo que el cargo de Intendente se elige por votación popular y dura 4 años con posibilidad de reelección inmediata
25,2016,marzo,Democracia,"Crearemos una División de Participación Ciudadana en la SEGEGOB, de tal manera de dar adecuado seguimiento y control del cumplimiento de metas ministeriales en materias de participación.",0%,1,,,,,,,,,,,,,0,,,,0,,,,,1,
26,2016,abril,Democracia,"Nos comprometemos a impulsar la tramitación, hasta su aprobación, de un proyecto de ley que otorgue el derecho a voto de chilenos en el extranjero. / Regula el ejercicio del derecho a voto de los chilenos en el extranjero",100%,4,9069-07,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,http://congresoabierto.cl/proyectos/9069-07,,,,,,,,1,,1,,2,,2,,,,1,4,Ver Reforma Constitucional: http://www.leychile.cl/Navegar?idLey=20748&tipoVersion=0
26,2016,mayo,Democracia,"Nos comprometemos a impulsar la tramitación, hasta su aprobación, de un proyecto de ley que otorgue el derecho a voto de chilenos en el extranjero. / Regula el ejercicio del derecho a voto de los chilenos en el extranjero",40%,4,10344-06,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,http://www.senado.cl/appsenado/templates/tramitacion/index.php,1,,,,,,,,,"0,4",1,,,1,,,,1,4,"Proyecto de ley aborda la inscripción y cambio de domicilio de los chilenos que sufraguen en el exterior, y la modalidad de votación en el extranjero. "
