uid,area,titulo,promesa,cumplimiento,coherencia,boletin,titulo_proyecto,link,1er_tramite,veto,insistencia,2°-3° tramite,comision mixta,tribunal constitucional,aprob_presidencial ,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total,marginal ,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
1,Estado,Crea Agencia Nacional de Protección Civil,"Para eso enviamos a este Congreso el proyecto de ley que crea la Agencia Nacional de Protección Civil, que reemplazará a la antigua ONEMI, y estará dotada de los necesarios recursos humanos y de tecnología de última generación. Este proyecto también considera la participación inmediata de nuestras Fuerzas Armadas y de Orden en la insustituible misión de proteger a la población, sin que sea necesario decretar Estado de Excepción Constitucional, como ocurre en la actualidad",40%,4,7550-06,Establece el Sistema Nacional de Emergencia y Protección Civil y crea la Agencia Nacional de Protección Civil,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7940&prmBoletin=7550-06,1,,,,,,,,,Primer Tramite,"0,4",4,13,,17,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
2,Trabajo y Previsión Social,Perfecciona Justicia Laboral,Seguiremos avanzando en perfeccionar la justicia laboral,0%,1,,Sobre el perfeccionamiento de la ley laboral,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
3,Trabajo y Previsión Social,Reforma Superintendencia de Seguridad Social,Enviaremos al Congreso el proyecto de reforma a la Superintendencia de Seguridad Social,70%,4,7829-13,"Crea la Intendencia de Seguridad y Salud en el Trabajo, fortalece el rol de la Superintendencia de Seguridad Social y actualiza sus atribuciones y funciones",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8222&prmBoletin=7829-13,,,,1,,,,,,Segundo Tramite,"0,7",,11,,11,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
4,Trabajo y Previsión Social,Modifica Ley de Accidentes del Trabajo,Enviaremos los proyectos que modifican la Ley de Accidentes del Trabajo y reforman el modelo de fiscalización,0%,1,,Modifica la Ley de Accidentes del Trabajo ,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
5,Seguridad Ciudadana,Aumento dotación Carabineros y PDI,"Y para superar el déficit de nuestras policías, estamos aumentando la dotación de Carabineros en diez mil efectivos y la dotación de la PDI en mil detectives, los cuales estarán en las calles protegiendo a la gente inocente",100%,3,6962-02,Aumenta las plantas de Personal de Carabineros de Chile,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7358&prmBoletin=6962-02,,,,,,,,1,,Promulgado,1,,8,,8,,,1,,3,"La dotación aumentó en 7.774 cupos para ingresar a Carabineros, la recontratación se cumplió",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
6,Seguridad Ciudadana,Plan contra alcoholismo y drogadicción ,"Por eso presentamos un plan integral contra el alcoholismo y la droga, con metas y plazos exigentes, que incluye que toda persona que reincida en conducir en estado de ebriedad perderá definitivamente su carné de chofer",100%,4,7652-15,"Modifica ley N° 18.290, aumentando las sanciones por manejo en estado de ebriedad, bajo la influencia de sustancias estupefacientes o sicotrópicas, y bajo la influencia del alcohol",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8043&prmBoletin=7652-15,,,,,,,,1,,Promulgado,1,,7,4,11,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
7,Seguridad Ciudadana,Uso brazalete electrónico,"La utilización de nuevas tecnologías, como el uso del brazalete electrónico",70%,4,5838-07,"Modifica la ley N° 18.216, que establece medidas alternativas a las penas privativas o restrictivas de libertad.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6214&prmBoletin=5838-07,,,,1,,,,,,Segundo Tramite,"0,7",19,20,6,45,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
8,Educación,Aumento subvención escolar preferencial,"Seguiremos aumentando la subvención escolar preferencial para llegar a más sectores de clase media, que hasta ahora siempre han estado postergados",0%,1,,Sobre el aumento de cobertura de subvención escolar preferencial,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
9,Educación,Mejorar ambiente escolar ,"Quiero reiterar aquí mi compromiso de enfrentar el bullying y la violencia al interior de las escuelas. Es necesario restablecer el respeto al profesor y a los estudiantes y exigir que el compañerismo y la no discriminación no sólo se enseñen, sino que se vivan al interior de la sala de clases",100%,4,7123-04,Sobre violencia escolar,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7525&prmBoletin=7123-04,,,,,,,,1,,Promulgado,1,10,,2,12,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
10,Educación,Creación Subsecretaría de Educación Superior,"Enviaremos un proyecto de ley que crea la Subsecretaría de Educación Superior, para que las universidades, institutos profesionales y centros de formación técnica, así como los estudiantes y sus familias, se vinculen con el Estado en forma directa y eficiente",0%,1,,Sobre la creación de Subsecretaría de Educación Superior,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
11,Educación,Nuevo trato con universidades del Estado,"Avanzaremos en un nuevo trato con las universidades del Estado, otorgándoles más atribuciones y flexibilidad para mejorar su gestión y competitividad",0%,1,,Sobre potenciar las facultades de las universidades del Estado ,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
12,Educación,Perfeccionamiento financiamiento estundiantil,"Perfeccionaremos los mecanismos de financiamiento estudiantil, permitiremos reprogramar a los 100 mil deudores morosos del Fondo Solidario",100%,4,7874-04,Proyecto de ley sobre reprogramación de créditos universitarios,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8269&prmBoletin=7874-04,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
13,Educación,Modificación Aporte Fiscal Indirecto,"Modificaremos el esquema de Aporte Fiscal Indirecto, aumentando el número de beneficiarios y entregando los recursos directamente a los estudiantes, para que ellos decidan en qué institución quieren estudiar",0%,1,,Sobre la modificación del Aporte Fiscal Indirecto ,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
14,Salud,Ley de Tabaco,Proyecto de Ley de Tabaco,70%,4,7914-11,"Modifica Ley N° 19.419, en materia de ambientes libres de humo de tabaco",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8311&prmBoletin=7914-11,,,,1,,,,,,Segundo Tramite,"0,7",2,6,,8,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
15,Salud,Ley de Derecho y Deberes del Paciente,Impulso a la Ley de Derecho y Deberes del Paciente,100%,4,4398-11,Regula los derechos y deberes que tienen las personas en relación con acciones vinculadas a su atención en salud,https://www.camara.cl/pley/pley_detalle.aspx?prmID=4785&prmBoletin=4398-11,,,,,,,,1,,Promulgado,1,,9,,9,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
16,Salud,Venta de remedios sin receta,Las mayores opciones para la venta de remedios que no requieren receta y que permitirán una reducción estimada de 25 por ciento en su precio,40%,4,7274-11,Autoriza la venta de medicamentos que tengan la condición de venta directa en establecimientos comerciales que cumplan los requisitos que indica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7674&prmBoletin=7274-11,1,,,,,,,,,Primer Tramite,"0,4",9,5,2,16,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
17,Salud,Ley de Fármacos,"La nueva Ley de Fármacos, que exigirá el nombre genérico de los medicamentos y su venta en dosis unitarias, para abaratar su costo y comprar sólo lo que se necesita",40%,4,6523-11,Modifica el Código Sanitario en materia de regulación a las farmacias,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6917&prmBoletin=6523-11,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
18,Salud,Ley de Fármacos,"La nueva Ley de Fármacos, que exigirá el nombre genérico de los medicamentos y su venta en dosis unitarias, para abaratar su costo y comprar sólo lo que se necesita",40%,4,6331-11,Establece un precio fijo de venta para los productos farmacéuticos que componen el Formulario Nacional de Medicamentos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6720&prmBoletin=6331-11,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
19,Salud,Ley corta de Isapres,"Enviamos la ley corta de isapres, que fija criterios de razonabilidad a los mecanismos de ajuste y evita diferencias excesivas de precios por sexo y edad de los planes de salud. Este proyecto será complementado con una iniciativa que definirá un plan garantizado de salud y un mecanismo solidario de financiamiento, para todos los usuarios de isapres",0%,1,,Modifica la ley de Isapres,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
20,Desarrollo Social,Ingreso Ético Familiar,Hemos puesto en marcha una nueva política: el Ingreso ético familiar,70%,4,7992-06,Crea el ingreso Ético Familiar,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8388&prmBoletin=7992-06,,,,1,,,,,,Segundo Tramite,"0,7",,4,6,10,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
21,Desarrollo Social,Creación Ministerio de Desarrollo Social,"Queremos invitar a los diputados a aprobar cuanto antes el nuevo Ministerio de Desarrollo Social, ya aprobado en el Senado, y que liderará la lucha contra la pobreza y las desigualdades excesivas",100%,4,7196-06,Crea el Ministerio de Desarrollo Social,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7623&prmBoletin=7196-06,,,,,,,,1,,Promulgado,1,4,7,,11,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
22,Democracia,Inscripción automática y voto voluntario,Hagámoslo ya: inscripción automática y voto voluntario,100%,4,7338-07,"Sobre inscripción automática, Servicio Electoral y sistema de votaciones",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7731&prmBoletin=7338-07,,,,,,,,1,,Promulgado,1,4,16,5,25,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
23,Democracia,Voto de chilenos en el extranjero,Hemos enviado un proyecto al Congreso Nacional para permitir el voto de los chilenos que viven en el extranjero y que mantienen un vínculo con Chile. Esperamos que pronto alcancemos un consenso que transforme en ley esta aspiración,40%,4,7335-07,Sobre voto de chilenos en el extranjero,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7730&prmBoletin=7335-07,1,,,,,,,,,Primer Tramite,"0,4",4,1,,5,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
24,Democracia,Iniciativa popular de ley,"También es importante aumentar los grados de participación, para eso hemos propuesto la iniciativa popular de ley",40%,4,7206-07,Establece la iniciativa ciudadana de ley,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7604&prmBoletin=7206-07,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
25,Democracia,Plebiscitos comunales ,Facilitar los plebiscitos comunales,70%,2,7308-06,Sobre plebiscito y consultas de carácter comunal,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7700&prmBoletin=7308-06,,,,1,,,,,,Segundo Tramite,"0,7",6,7,2,15,,1,,,2,"Se aumenta a 10% de los habitantes habilitados para votar en la comuna, lo que vuelve más difícil el requisito que la actual legislación",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
26,Democracia,Ley de primarias voluntarias,En los próximos meses enviaremos los proyectos de ley de primarias voluntarias y vinculantes para seleccionar los candidatos,70%,4,7911-06,"Establece el Sistema de Elecciones Primarias para la nominación de candidatos a Presidente de la República, Parlamentarios y Alcaldes",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8304&prmBoletin=7911-06,,,,1,,,,,,Segundo Tramite,"0,7",,11,1,12,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
27,Democracia,Ley de partidos políticos,"Una nueva ley de partidos políticos, que los haga más democráticos, transparentes y participativos",0%,1,,Proyecto de ley sobre partidos políticos,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
28,Estado,Desarrollo regiones extremas,"Para potenciar en forma muy especial el desarrollo de las regiones extremas, estamos revisando y fortaleciendo los incentivos tributarios",40%,4,8011-05,Establece incentivos especiales para las zonas extremas del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8403&prmBoletin=8011-05,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
29,Estado,Elección directa de consejeros regionales,"Potenciaremos y modernizaremos los gobiernos regionales y comunales, incorporando la elección directa de los consejeros regionales",40%,4,7923-06,Establece elección directa de los Consejeros Regionales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8317&prmBoletin=7923-06,1,,,,,,,,,Primer Tramite,"0,4",4,5,,9,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
30,Estado,Modernización de Gobiernos Regionales,Potenciaremos y modernizaremos los gobiernos regionales y comunales (…) extendiendo la Alta Dirección Pública para los cargos claves,40%,3,7963-06,Relativo al fortalecimiento de la regionalización del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,1,,,,,,,,,Primer Tramite,"0,4",4,5,,9,,,1,,3,"Proyecto relativo sólo al nivel regional, no al comunal",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
31,Estado,Creación de Fideicomiso Ciego,Enviamos a este Congreso el proyecto de ley que perfecciona las declaraciones de patrimonio de intereses de las autoridades públicas y crea la figura del Fideicomiso Ciego,70%,4,7616-06,Probidad en la Función Pública,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,1,,,,,,Segundo Tramite,"0,7",9,4,,13,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
32,Cultura,Creación Ministerio de Cultura y el Patrimonio,"Propondremos crear el Ministerio de la Cultura y el Patrimonio, que agrupará al Consejo de la Cultura y las Artes, la Dirección de Bibliotecas, Archivos y Museos y el Consejo de Monumentos Nacionales",0%,1,,Sobre la creacion del Ministerio de la Cultura y el Patrimonio,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
33,Cultura,Perfeccionamiento Ley de Donaciones Culturales,"Proyecto de ley que fortalece y perfecciona la Ley de Donaciones Culturales, simplificando sus procedimientos y ampliando el universo de beneficiarios y donantes",40%,4,7761-06,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,1,,,,,,,,,Primer Tramite,"0,4",3,9,,12,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
34,Deportes,Creación de Ministerio del Deporte,Hemos decidido enviar a este Congreso un proyecto de ley que creará el Ministerio del Deporte en Chile,40%,4,8085-29,Crea el Ministerio del Deporte,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8484&prmBoletin=8085-29,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
